SFTAZ,COUNTY,DISTRICT,MTCTAZ,HHLDS,POP,POPD,EMPRES,EMPRESD,CIE,MED,MIPS,PDR,RETAIL,VISITOR,TOTALEMP,EMPD,NETCON,CROSSING,SAFETY,VITALITY,TOPOLOGY,AREATYPE,SUPERDST,MTCEMP,MTCPOP,HHINCQ1,HHINCQ2,HHINCQ3,HHINCQ4,AVGINCQ1,AVGINCQ2,AVGINCQ3,AVGINCQ4,AVGHHINC,SHPOP62P,TOTACRE,RETEMP,SEREMP,OTHEMP,AGREMP,MFGEMP,TRDEMP,SERVICE,PKDISTNO,PKDIST,FREEPARK,SUBPARK,PAIDPARK,PPAYING,PRKAVIND,ONSTREET,OFSTREET,PRKCSTWH,PRKCSTOH,TOTPARK,COLLENROLL,HIGHENROLL,GRADENROLL,SFDU,MFDU,AGE0004,AGE0519,AGE2044,AGE4564,AGE65P,HHPOP,GQPOP,DIST15,DIST22,DIST40,DIST51,STATE,CNTY_ID,CNTY_NAM,PUMA,POWPUMA,PLACE_ID,PLACE_NAM,DIST_PLC_1,DIST_PLC_2,DIST_PLC_N,DIST22NAME,DIST40NAME,DISTPLC2_S
637,1,4,67,415,967,55.92828224,573,33.14054367,22,0,46,22,14,0,104,6.015037594,2,2,3,2,3,2,2,1232,5049,124,109,83,99,0,0,0,0,0,0.19,17.29,0,0,0,0,0,0,22,18,6,0.333,0,0.667,0.2,2,1,0,0,0,110,0,0,0,86,329,46,107,391,274,150,966,1,8,9,4,26,6,6075,SanFrancisco,602201,6022,667000,SanFrancisco,11,1,San Francisco,9,4,1
638,1,1,18,10,20,1.515151515,7,0.53030303,56,5,86,476,85,0,708,53.63636364,2,1,2,1,1,1,1,8973,620,2,1,2,5,0,0,0,0,0,0.06,13.2,0,0,0,0,0,0,61,22,10,0.25,0.05,0.7,0.201,0.35,0.65,1.122,0.691,1.972,195,0,0,0,1,9,0,1,13,5,1,16,4,2,3,3,6,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,3,3,1
639,1,1,18,0,0,0,0,0,0,0,45,90,45,0,180,13.62604088,2,1,2,1,1,1,1,8973,620,0,0,0,0,0,0,0,0,0,0.06,13.21,0,0,0,0,0,0,0,22,10,0.25,0.05,0.7,0.201,0.35,0.65,1.122,0.632,1.796,196,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,6,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,3,3,1
640,1,1,18,134,228,17.27272727,98,7.424242424,15,4,197,146,258,0,620,46.96969697,2,1,2,1,1,1,1,8973,620,29,20,22,64,0,0,0,0,0,0.06,13.2,0,0,0,0,0,0,19,22,10,0.25,0.05,0.7,0.201,2.667,0.319,0.681,0.625,1.777,252,0,0,0,9,125,4,15,145,55,8,221,7,2,3,3,5,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,3,3,1
641,1,1,18,514,926,70.20470053,376,28.50644428,24,0,949,911,426,0,2310,175.1326763,2,1,2,1,1,1,1,8973,620,110,75,85,244,0,0,0,0,0,0.06,13.19,0,0,0,0,0,0,24,22,10,0.25,0.05,0.7,0.201,2.667,0.319,0.681,0.816,2.348,252,0,0,0,35,479,18,63,590,223,33,847,79,2,3,3,5,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,3,3,1
642,1,1,18,222,419,31.57498116,162,12.20798794,279,8,738,892,144,0,2061,155.3127355,2,1,2,1,1,1,1,8973,620,48,32,37,105,0,0,0,0,0,0.06,13.27,0,0,0,0,0,0,287,22,10,0.25,0.05,0.7,0.201,2.667,0.319,0.681,0.786,2.257,254,0,0,0,15,207,8,28,267,101,15,365,54,2,3,3,5,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,3,3,1
643,1,1,18,283,546,41.42640364,206,15.62974203,12,0,306,236,263,2,819,62.13960546,2,1,2,1,1,1,1,8973,620,61,41,47,134,0,0,0,0,0,0.06,13.18,0,0,0,0,0,0,14,22,10,0.25,0.05,0.7,0.201,0.35,0.65,1.122,0.704,2.012,195,0,0,0,19,264,11,37,348,131,19,465,81,2,3,3,6,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,3,3,1
644,1,1,18,343,606,45.80498866,250,18.89644747,26,23,646,483,174,1,1353,102.2675737,2,1,2,1,1,1,1,8973,620,74,50,57,163,0,0,0,0,0,0.06,13.23,0,0,0,0,0,0,50,22,10,0.25,0.05,0.7,0.201,0.35,0.65,1.122,0.761,2.182,196,0,0,0,23,320,12,41,386,146,22,564,42,2,3,3,6,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,3,3,1
645,1,1,18,82,163,12.36722307,61,4.628224583,5,6,112,169,51,1,344,26.10015175,2,1,2,1,1,1,1,8973,620,18,12,14,39,0,0,0,0,0,0.06,13.18,0,0,0,0,0,0,12,22,10,0.25,0.05,0.7,0.201,0.35,0.65,1.122,0.65,1.849,195,0,0,0,6,76,3,11,104,39,6,136,27,2,3,3,6,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,3,3,1
646,1,1,9,0,0,0,0,0,0,0,33,0,0,0,33,2.274293591,3,2,2,3,3,0,1,14884,9592,0,0,0,0,0,0,0,0,0,0.18,14.51,0,0,0,0,0,0,0,4,9,0.286,0.286,0.429,0.383,2.714,1,0,0.441,0.376,78,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,6,6075,SanFrancisco,602203,6022,667000,SanFrancisco,11,1,San Francisco,3,1,1
